CNN,Training image count,Noise addition,Label count,Epoch count,Loss,Accuracy
Fashion-MNIST,20000,0,4,74,0.0039,0.9993
Fashion-MNIST,20000,0,4,75,0.0047,0.999
Fashion-MNIST,20000,0,4,76,0.0079,0.9981
Fashion-MNIST,20000,0,4,77,0.003,0.999
Fashion-MNIST,20000,0,4,78,0.0061,0.9989
Fashion-MNIST,20000,0,4,79,0.0042,0.9991
Fashion-MNIST,20000,0,4,80,0.0043,0.9991
Fashion-MNIST,20000,0,4,81,0.0035,0.9989
Fashion-MNIST,20000,0,4,82,0.0035,0.9991
Fashion-MNIST,20000,0,4,83,0.0041,0.9991
Fashion-MNIST,20000,0,4,84,0.0077,0.9986
Fashion-MNIST,20000,0,4,85,0.0051,0.999
Fashion-MNIST,20000,0,4,86,0.0046,0.9986
Fashion-MNIST,20000,0,4,87,0.0047,0.999
Fashion-MNIST,20000,0,4,88,0.0046,0.9993
Fashion-MNIST,20000,0,4,89,0.0033,0.9995
Fashion-MNIST,20000,0,4,90,0.006,0.9987
Fashion-MNIST,20000,0,4,91,0.0041,0.9994
Fashion-MNIST,20000,0,4,92,0.0053,0.999
Fashion-MNIST,20000,0,4,93,0.0047,0.9991
Fashion-MNIST,20000,0,4,94,0.0038,0.9994
Fashion-MNIST,20000,0,4,95,0.0065,0.9984
Fashion-MNIST,20000,0,4,96,0.0038,0.999
Fashion-MNIST,20000,0,4,97,0.0046,0.9991
Fashion-MNIST,20000,0,4,98,0.0044,0.9989
Fashion-MNIST,20000,0,4,99,0.0044,0.9991
Fashion-MNIST,20000,0,4,100,0.0036,0.9992
Fashion-MNIST,20000,0,5,1,1.2286,0.4259
Fashion-MNIST,20000,0,5,2,0.9469,0.5656
Fashion-MNIST,20000,0,5,3,0.7252,0.6753
Fashion-MNIST,20000,0,5,4,0.5711,0.7597
Fashion-MNIST,20000,0,5,5,0.4362,0.8034
Fashion-MNIST,20000,0,5,6,0.3577,0.8455
Fashion-MNIST,20000,0,5,7,0.297,0.8889
Fashion-MNIST,20000,0,5,8,0.2399,0.9159
Fashion-MNIST,20000,0,5,9,0.1973,0.9333
Fashion-MNIST,20000,0,5,10,0.1632,0.9502
Fashion-MNIST,20000,0,5,11,0.1464,0.9573
Fashion-MNIST,20000,0,5,12,0.123,0.962
Fashion-MNIST,20000,0,5,13,0.1117,0.9653
Fashion-MNIST,20000,0,5,14,0.0958,0.9712
Fashion-MNIST,20000,0,5,15,0.0894,0.9739
Fashion-MNIST,20000,0,5,16,0.0774,0.9763
Fashion-MNIST,20000,0,5,17,0.0708,0.9803
Fashion-MNIST,20000,0,5,18,0.063,0.9821
Fashion-MNIST,20000,0,5,19,0.0621,0.9819
Fashion-MNIST,20000,0,5,20,0.0584,0.9824
Fashion-MNIST,20000,0,5,21,0.055,0.982
Fashion-MNIST,20000,0,5,22,0.0651,0.9791
Fashion-MNIST,20000,0,5,23,0.0561,0.9826
Fashion-MNIST,20000,0,5,24,0.0528,0.9855
Fashion-MNIST,20000,0,5,25,0.0449,0.9866
Fashion-MNIST,20000,0,5,26,0.0446,0.9868
Fashion-MNIST,20000,0,5,27,0.0437,0.9866
Fashion-MNIST,20000,0,5,28,0.0439,0.9846
Fashion-MNIST,20000,0,5,29,0.0411,0.9859
Fashion-MNIST,20000,0,5,30,0.0446,0.9853
Fashion-MNIST,20000,0,5,31,0.0398,0.9878
Fashion-MNIST,20000,0,5,32,0.0408,0.9869
